DESCRIPTION,JURISDICTION,WEB_ADDRESS,STREET_NUMBER,STREET_NAME,CITY,ZIP
DOLLEY MADISON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/dolley-madison,1244,OAK RIDGE AVE,MCLEAN,22101
TYSONS-PIMMIT REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/tysons-pimmit-regional,7584,LEESBURG PIKE,FALLS CHURCH,22043
LIBRARY ADMINISTRATION,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches,12000,GOVERNMENT CENTER PKWY  SUITE 324,FAIRFAX,22035
CITY OF FAIRFAX REGIONAL LIBRARY,CITY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/city-of-fairfax-regional,10360,NORTH ST,FAIRFAX,22030
THOMAS JEFFERSON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/thomas-jefferson,7415,ARLINGTON BLVD,FALLS CHURCH,22042
LORTON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/lorton,9520,RICHMOND HWY,LORTON,22079
KINGS PARK LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/kings-park,9000,BURKE LAKE RD,BURKE,22015
GEORGE MASON REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/george-mason-regional,7001,LITTLE RIVER TPKE,ANNANDALE,22003
RICHARD BYRD LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/richard-byrd,7250,COMMERCE ST,SPRINGFIELD,22150
SHERWOOD REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/sherwood-regional,2501,SHERWOOD HALL LN,ALEXANDRIA,22306
JOHN MARSHALL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/john-marshall,6209,ROSE HILL DR,ALEXANDRIA,22310
MARTHA WASHINGTON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/martha-washington,6614,FORT HUNT RD,ALEXANDRIA,22307
RESTON REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/reston-regional,11925,BOWMAN TOWNE DR,RESTON,20190
HERNDON FORTNIGHTLY LIBRARY,TOWN OF HERNDON,https://www.fairfaxcounty.gov/library/branches/herndon-fortnightly,768,CENTER ST,HERNDON,20170
CENTREVILLE REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/centreville-regional,14200,SAINT GERMAIN DR,CENTREVILLE,20121
WOODROW WILSON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/woodrow-wilson,6101,KNOLLWOOD DR,FALLS CHURCH,22041
PATRICK HENRY LIBRARY,TOWN OF VIENNA,https://www.fairfaxcounty.gov/library/branches/patrick-henry,101,MAPLE AVE E,VIENNA,22180
POHICK REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/pohick-regional,6450,SYDENSTRICKER RD,BURKE,22015
CHANTILLY REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/chantilly-regional,4000,STRINGFELLOW RD,CHANTILLY,20151
GREAT FALLS LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/great-falls,9830,GEORGETOWN PIKE,GREAT FALLS,22066
KINGSTOWNE LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/kingstowne,6500,LANDSDOWNE CTR,ALEXANDRIA,22315
ACCESS SERVICES,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/access-services,12000,GOVERNMENT CENTER PKWY  SUITE 123,FAIRFAX,22035
OAKTON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/oakton,10304,LYNNHAVEN PL,OAKTON,22124
BURKE CENTRE LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/burke-centre,5935,FREDS OAK RD,BURKE,22015
VIRGINIA ROOM,CITY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/virginia-room,10360,NORTH ST,FAIRFAX,22030
 ,,,,,,
